Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
5613,Haloperidol,HMDB0014645,3559,5613,C01814,NA,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,1
5615,Halothane,HMDB0015290,3562,5615,C07515,NA,FC(F)(F)C(Cl)Br,1
15208,NA,NA,NA,NA,NA,NA,NA,0
18662,NA,NA,NA,NA,NA,NA,NA,0
3380,Captopril,HMDB0015328,44093,3380,NA,NA,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,1
3390,Carbaryl,HMDB0249612,6129,3390,C07491,NA,CNC(=O)OC1=C2C=CC=CC2=CC=C1,1
2549,Salbutamol,HMDB0001937,2083,2549,C11770,799,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,1
2567,Alendronic acid,HMDB0001915,2088,2567,C07752,818,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,1
8116,Phorbol,NA,442070,8116,C09155,NA,CC1=C23(O)(C=C(CO)C2(O)C1=O)1C(C)(C)1(O)(O)3C,1
8207,Pilocarpine,HMDB0015217,5910,8207,C07474,NA,CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O,1
19228,2'-O-Methylcytidine,HMDB0242132,150971,19228,NA,NA,[H][C@]1(CO)O[C@@]([H])(N2C=CC(=N)N=C2O)[C@]([H])(OC)[C@]1([H])O,1
20339,4-Chloro-1H-indole-3-acetic acid,HMDB0032936,100413,20339,NA,NA,OC(=O)CC1=CNC2=C1C(Cl)=CC=C2,1
2968,Bacampicillin,HMDB0015540,441397,2968,C08122,NA,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OC(C)OC(=O)OCC,1
3614,Chlorhexidine,HMDB0015016,2713,3614,C06902,NA,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,1
3654,Chlorthalidone,HMDB0014455,2732,3654,NA,NA,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,1
8428,Procainamide,HMDB0015169,4913,8428,C07401,NA,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,1
8430,Procaine,HMDB0014859,4914,8430,C07375,NA,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,1
1427,3-(3-Hydroxyphenyl)propanoic acid,HMDB0000375,91,1427,C11457,5364,OC(=O)CCC1=CC(O)=CC=C1,1
6807,NA,NA,NA,NA,NA,NA,NA,0
6877,NA,NA,NA,NA,NA,NA,NA,0
8093,Phenylephrine,HMDB0002182,6041,8093,C07441,699,CNC[C@H](O)C1=CC(O)=CC=C1,1
